agent_nr,rate,noise,Self,Other,trial,strategy
4,0.65,0.2,0,1,60,LSWS
4,0.65,0.2,1,0,61,LSWS
4,0.65,0.2,1,0,62,LSWS
4,0.65,0.2,1,1,63,LSWS
4,0.65,0.2,1,1,64,LSWS
4,0.65,0.2,0,1,65,LSWS
4,0.65,0.2,0,0,66,LSWS
4,0.65,0.2,1,0,67,LSWS
4,0.65,0.2,1,1,68,LSWS
4,0.65,0.2,0,1,69,LSWS
4,0.65,0.2,0,1,70,LSWS
4,0.65,0.2,0,0,71,LSWS
4,0.65,0.2,1,0,72,LSWS
4,0.65,0.2,1,1,73,LSWS
4,0.65,0.2,0,0,74,LSWS
4,0.65,0.2,1,1,75,LSWS
4,0.65,0.2,0,1,76,LSWS
4,0.65,0.2,0,1,77,LSWS
4,0.65,0.2,0,1,78,LSWS
4,0.65,0.2,0,0,79,LSWS
4,0.65,0.2,1,1,80,LSWS
4,0.65,0.2,0,1,81,LSWS
4,0.65,0.2,0,0,82,LSWS
4,0.65,0.2,1,0,83,LSWS
4,0.65,0.2,1,1,84,LSWS
4,0.65,0.2,1,1,85,LSWS
4,0.65,0.2,0,0,86,LSWS
4,0.65,0.2,1,1,87,LSWS
4,0.65,0.2,0,1,88,LSWS
4,0.65,0.2,0,1,89,LSWS
4,0.65,0.2,1,1,90,LSWS
4,0.65,0.2,0,1,91,LSWS
4,0.65,0.2,0,0,92,LSWS
4,0.65,0.2,1,1,93,LSWS
4,0.65,0.2,0,0,94,LSWS
4,0.65,0.2,0,1,95,LSWS
4,0.65,0.2,1,1,96,LSWS
4,0.65,0.2,0,0,97,LSWS
4,0.65,0.2,1,0,98,LSWS
4,0.65,0.2,1,1,99,LSWS
4,0.65,0.2,0,1,100,LSWS
4,0.65,0.2,0,1,101,LSWS
4,0.65,0.2,0,1,102,LSWS
4,0.65,0.2,0,1,103,LSWS
4,0.65,0.2,0,1,104,LSWS
4,0.65,0.2,1,1,105,LSWS
4,0.65,0.2,0,1,106,LSWS
4,0.65,0.2,0,0,107,LSWS
4,0.65,0.2,1,1,108,LSWS
4,0.65,0.2,1,1,109,LSWS
4,0.65,0.2,0,0,110,LSWS
4,0.65,0.2,1,1,111,LSWS
4,0.65,0.2,0,1,112,LSWS
4,0.65,0.2,0,0,113,LSWS
4,0.65,0.2,1,1,114,LSWS
4,0.65,0.2,0,1,115,LSWS
4,0.65,0.2,1,1,116,LSWS
4,0.65,0.2,0,1,117,LSWS
4,0.65,0.2,0,1,118,LSWS
4,0.65,0.2,0,1,119,LSWS
4,0.65,0.2,0,1,120,LSWS
5,0.65,0.2,0,0,1,LSWS
5,0.65,0.2,1,0,2,LSWS
5,0.65,0.2,1,1,3,LSWS
5,0.65,0.2,0,1,4,LSWS
5,0.65,0.2,0,1,5,LSWS
5,0.65,0.2,0,0,6,LSWS
5,0.65,0.2,1,1,7,LSWS
5,0.65,0.2,1,1,8,LSWS
5,0.65,0.2,0,0,9,LSWS
5,0.65,0.2,1,1,10,LSWS
5,0.65,0.2,0,1,11,LSWS
